Band,rock,pop,folk,alternative,world,instrumental,classic,country,blues,rnb,hiphop,electronic,asian,metal
Ella Henderson,0.679402986225,1.42076161429,0.0622684012907,0.544238327226,0.0048953376717,0.0300558019232,0.016596852597,0.00702434561043,0.0311718260953,0.0571894395729,0.0762822519375,0.222618055149,0.000338451291253,0.0206449362397
Demi Lovato,0.610122547859,1.6884594498,0.0443448602054,0.384398553542,0.00622196948859,0.00972066620932,0.00966038911298,0.00827633813042,0.0120311872689,0.0127486563587,0.0196834504706,0.0549423208947,0.000122068692582,0.00607728426404
Charli XCX,0.138302358306,0.504400058991,0.00463907745607,0.193998036078,0.00416129748902,0.0466879573896,0.00583629443912,4.72245836151e-05,0.00592391817825,0.00630540426777,0.0170082289426,1.82835516846,0.000206792024346,0.00535482505148
Neon Jungle,0.679402986225,1.42076161429,0.0622684012907,0.544238327226,0.0048953376717,0.0300558019232,0.016596852597,0.00702434561043,0.0311718260953,0.0571894395729,0.0762822519375,0.222618055149,0.000338451291253,0.0206449362397
Ashley Roberts,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Nicole Scherzinger,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Saturdays,0.679402986225,1.42076161429,0.0622684012907,0.544238327226,0.0048953376717,0.0300558019232,0.016596852597,0.00702434561043,0.0311718260953,0.0571894395729,0.0762822519375,0.222618055149,0.000338451291253,0.0206449362397
Dami Im,0.559543165084,1.43646565312,0.132917894975,0.669900313764,0.00526661465788,0.0446001380315,0.0114594812872,0.0211745623099,0.0139439003682,0.0321436460016,0.027190532011,0.156261901557,0.0232489180812,0.0213008470614
Danity Kane,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Cheryl,0.679402986225,1.42076161429,0.0622684012907,0.544238327226,0.0048953376717,0.0300558019232,0.016596852597,0.00702434561043,0.0311718260953,0.0571894395729,0.0762822519375,0.222618055149,0.000338451291253,0.0206449362397
Cher Lloyd,0.679402986225,1.42076161429,0.0622684012907,0.544238327226,0.0048953376717,0.0300558019232,0.016596852597,0.00702434561043,0.0311718260953,0.0571894395729,0.0762822519375,0.222618055149,0.000338451291253,0.0206449362397
Tim Berg,0.0527619928848,0.218858585634,0.00401038853808,0.0608673080942,0.00703425253253,0.0450424198566,0.0125175554679,0.00358149052675,0.00109190162224,0.0547643051721,0.072979612581,1.96695027096,5.21712605102e-05,0.00540260744462
Calvin Harris,0.139235714166,0.487931405499,0.0101789227104,0.136497245542,0.0195952769819,0.0403541159962,0.0210910152253,0.00420116885234,0.00681471691232,0.171373998908,0.157134425255,1.81681336247,0.00252147645225,0.00540353519164
Afrojack,0.074789570106,0.248492030111,0.0042967724356,0.0778105130658,0.0110426865924,0.0665715292102,0.0149247790663,0.00500378307033,0.00114268891441,0.056050446321,0.0942510234521,1.96535507563,0.0244518826153,0.00609058715245
Avicii vs. Nicky Romero,0.0527619928848,0.218858585634,0.00401038853808,0.0608673080942,0.00703425253253,0.0450424198566,0.0125175554679,0.00358149052675,0.00109190162224,0.0547643051721,0.072979612581,1.96695027096,5.21712605102e-05,0.00540260744462
Alesso,0.0770015290636,0.236856792008,0.00409651209654,0.0833556652509,0.0084995660342,0.0655519568485,0.0199266075111,0.00361791556632,0.00119157169762,0.0567657681504,0.0860788845219,1.96591440764,0.000301530707854,0.00567998190989
Hardwell,0.0770015290636,0.236856792008,0.00409651209654,0.0833556652509,0.0084995660342,0.0655519568485,0.0199266075111,0.00361791556632,0.00119157169762,0.0567657681504,0.0860788845219,1.96591440764,0.000301530707854,0.00567998190989
Zedd,0.0220275772211,0.0296334444765,0.000286383897521,0.0169432049716,0.00400843405988,0.0215291093535,0.00240722359837,0.00142229254358,5.07872921712e-05,0.00128614114897,0.021271410871,1.99840480466,0.0243997113548,0.000687979707838
Foxboro Hot Tubs,1.85628979567,0.0729246249889,0.011925249311,0.49245293955,0.000481817818579,0.027760489826,0.00744561788411,0.0144696882272,0.106699399708,0.0221767069149,0.0052411033332,0.0125641142527,0.00739059222902,0.0751363719731
Pinhead Gunpowder,1.57760549032,0.228004944741,0.0485004603583,1.19004694022,0.00931909474349,0.0243793571381,0.0278287591694,0.0154048800909,0.0256938153235,0.013479330335,0.0451373141378,0.0665619409053,0.00142540253333,0.151089111693
The Network,1.37178522675,0.732449769455,0.0248005768075,0.992527688264,0.00878755654001,0.0409149617895,0.0370525644987,0.00383437051775,0.0196532908529,0.0107953508373,0.0377159987381,0.325789778696,0.00627791538095,0.0751380170061
Sum 41,1.57760549032,0.228004944741,0.0485004603583,1.19004694022,0.00931909474349,0.0243793571381,0.0278287591694,0.0154048800909,0.0256938153235,0.013479330335,0.0451373141378,0.0665619409053,0.00142540253333,0.151089111693
